row_id,Y
0,2106.3436016267033
1,1011.1691718722037
2,3001.2426790067093
3,2818.2267330573377
4,1904.541816029171
5,3063.2473140390725
6,3795.0291272399127
7,2273.474611507556
8,1386.5084762750773
9,696.7149679581411
10,1730.3833369347058
11,2951.0128377944834
12,1275.1044182605424
13,4799.644648327889
14,243.38107420152687
15,4274.461032628766
16,4950.517247348755
17,763.9519287419146
18,2283.242109819915
19,5511.935252350273
20,3136.6304147282463
21,1058.410128163508
22,1129.0291083197299
23,4488.33471137493
24,1105.3632350696294
25,-294.4269459385689
26,2434.183294842088
27,3877.378291240587
28,2667.3798992677157
29,906.4815398688579
30,3967.4755484122843
31,4108.0007133527615
32,3945.008106851038
33,1714.5292549121634
34,2710.085082841802
35,5087.564314129664
36,1960.2874561147564
37,1335.0912292119529
38,642.8332828068901
39,734.5195069572496
40,2820.838270709149
41,315.32261493192414
42,2483.6259367627035
43,2203.105946137163
44,938.4917019325412
45,1696.687603246904
46,2726.84778705212
47,4272.678456628748
48,3170.4793605785003
49,2703.10198158837
50,1926.4231805992792
51,1530.3006524207365
52,719.73029497578
53,2391.1825629668206
54,3795.4570892870106
55,987.0887125941907
56,3410.0832872383976
57,2786.252512396037
58,1548.8676898258318
59,3999.982899659094
60,1285.6916918605705
61,829.5562082948304
62,3928.0184471144416
63,-551.1803105747478
64,1593.4791854520984
65,1352.798367223372
66,3139.511105951931
67,1819.2656733744793
68,3102.884245101367
69,1445.7845806776825
70,-512.517499754492
71,2139.642338151406
72,3280.644157135663
73,3758.3723697392247
74,3393.1376689076446
75,4419.4766896039955
76,2596.9093356301482
77,2277.5528457237624
78,1416.5483614969837
79,5466.424950807825
80,803.6480184892004
81,1401.0946556178749
82,2665.2207954025803
83,3078.7136074834903
84,1880.6549658625174
85,3576.103481938555
86,1483.6002052713131
87,766.7328322928486
88,1893.5267201583863
89,3846.2655994556644
90,3377.214255989463
91,2912.017236476589
92,3077.008623070476
93,3813.3402538663827
94,817.8563947244284
95,864.7304658995326
96,1626.475029451718
97,2549.0848914951202
98,3972.876381447558
99,536.9860276167727
100,-524.0831306644594
101,4251.638775250311
102,2168.4635176690877
103,1502.3027125830954
104,2429.9596237191963
105,1950.9391525062847
106,-1165.789545625471
107,2880.242924003196
108,2404.7432973532123
109,1791.870495883049
110,3228.310176274213
111,2843.19328187037
112,712.123120864185
113,493.5372785374607
114,3459.919884423585
115,2852.23764979979
116,1049.1614711374596
117,2387.8200796817264
118,1378.0279111954633
119,2632.6484296693966
120,4247.0694098666
121,1669.9654448301892
122,1407.2934257748836
123,2373.0047774489276
124,1986.3283340562377
125,1133.0243885088837
126,877.9278629142881
127,2944.1785859457423
128,3885.9645936182537
129,2391.869721188011
130,2651.470389911294
131,678.3789753999447
132,1154.8763851129163
133,1511.6811741378456
134,1913.9428124953354
135,1719.3063328579963
136,1948.3257071594403
137,2395.7666737066565
138,348.5704853772488
139,3949.251120909813
140,2092.867195349386
141,1037.0599774928696
142,2531.2259016968424
143,608.4207839350717
144,1894.0776274267896
145,3896.093502049589
146,1749.514907377434
147,2232.447393787055
148,2502.9718089236767
149,1338.138734812017
150,-35.1899760966362
151,3534.742210713794
152,3174.1355360549705
153,1323.0190935193373
154,3785.122720759397
155,2019.3750782020602
156,4086.561656859892
157,1963.146595668526
158,1496.1923176908406
159,3310.9800936696693
160,3922.848910600387
161,1759.7933840148364
162,3393.8291566884454
163,2969.994305049437
164,3037.545856462357
165,1681.039058796879
166,104.4240521943982
167,1050.8455351349874
168,2858.7116134077405
169,1340.4915501892058
170,4016.0499257472006
171,4527.479800637349
172,2551.0180328042106
173,-189.41294193354952
174,-1320.4550437509017
175,1577.221979713629
176,1932.7993086440479
177,1556.680685939375
178,2577.171584492032
179,1876.761408037709
180,1607.7313421957192
181,1758.4652755123989
182,1540.5554491925748
183,2032.7516569250386
184,643.8773607315
185,486.77325984508536
186,1623.2443220005387
187,2702.5816556255
188,811.9119640686981
189,2028.2541569002954
190,-1109.698694614457
191,1262.378464273524
192,2468.2442961831734
193,2746.9756695431056
194,4184.209021447227
195,418.05711584352
196,1277.5544177098614
197,1785.6540933188114
198,1101.8726058636398
199,427.0463199777213
200,331.4312120236065
201,-1187.0831745920807
202,1543.760461152417
203,-1410.223311932215
204,2582.239002462498
205,961.0612320091789
206,2703.8965274648976
207,3565.9513619084346
208,843.1908464451792
209,517.2371148258975
210,1950.3898887806984
211,3930.3041681517957
212,2434.9587984336613
213,3040.0375598818327
214,2146.7801971066783
215,934.0122302312247
216,1847.2585890974728
217,2881.902550142999
218,889.5322758190282
219,2100.7774293666907
